   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 6 | 4 | 4 | 6 | 4 | 4 | 5 | 4 | 3 | 4 | 6 | 6 | 6 | 3 | 3 | 
1  | 6 | 3 | 5 | 5 | 5 | 6 | 6 | 3 | 3 | 4 | 3 | 5 | 4 | 6 | 4 | 
2  | 6 | 6 | 6 | 3 | 4 | 5 | 4 | 6 | 5 | 6 | 6 | 5 | 4 | 3 | 3 | 
3  | 6 | 3 | 6 | 3 | 6 | 5 | 6 | 3 | 5 | 3 | 3 | 4 | 4 | 3 | 4 | 
4  | 3 | 5 | 6 | 6 | 5 | 6 | 3 | 6 | 5 | 4 | 4 | 3 | 3 | 6 | 3 | 
5  | 4 | 4 | 3 | 4 | 4 | 6 | 5 | 6 | 3 | 4 | 6 | 5 | 6 | 5 | 3 | 
6  | 6 | 5 | 4 | 5 | 4 | 4 | 5 | 3 | 5 | 3 | 4 | 5 | 4 | 4 | 6 | 
7  | 6 | 6 | 6 | 5 | 6 | 5 | 6 | 3 | 5 | 4 | 5 | 4 | 4 | 6 | 4 | 
8  | 3 | 3 | 4 | 6 | 4 | 5 | 5 | 5 | 6 | 3 | 6 | 5 | 6 | 3 | 4 | 
9  | 6 | 4 | 4 | 6 | 3 | 5 | 4 | 5 | 5 | 3 | 4 | 6 | 6 | 3 | 5 | 
10 | 4 | 3 | 3 | 4 | 3 | 5 | 6 | 3 | 4 | 5 | 5 | 5 | 3 | 4 | 5 | 
11 | 6 | 5 | 5 | 4 | 4 | 5 | 3 | 6 | 4 | 5 | 3 | 6 | 3 | 5 | 4 | 
12 | 5 | 3 | 5 | 3 | 6 | 4 | 3 | 6 | 5 | 5 | 3 | 3 | 3 | 3 | 6 | 
13 | 5 | 6 | 6 | 3 | 5 | 5 | 3 | 4 | 4 | 6 | 6 | 5 | 6 | 4 | 6 | 
14 | 6 | 5 | 6 | 5 | 5 | 4 | 3 | 4 | 6 | 4 | 6 | 4 | 5 | 3 | 5 | 

start: (11, 13)   finish: (1, 0)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 5 | 3 | 3 | 5 | 5 | 6 | 3 | 5 | 3 | 3 | 6 | 3 | 3 | 4 | 3 | 
1  | 5 | 3 | 3 | 4 | 6 | 4 | 5 | 5 | 5 | 4 | 3 | 3 | 5 | 3 | 6 | 
2  | 4 | 5 | 4 | 5 | 5 | 4 | 3 | 4 | 6 | 6 | 6 | 6 | 5 | 6 | 5 | 
3  | 3 | 4 | 4 | 3 | 3 | 4 | 6 | 6 | 3 | 6 | 3 | 3 | 6 | 3 | 3 | 
4  | 6 | 4 | 5 | 5 | 4 | 3 | 4 | 4 | 4 | 3 | 5 | 6 | 3 | 6 | 6 | 
5  | 5 | 3 | 6 | 4 | 6 | 6 | 6 | 4 | 3 | 4 | 6 | 4 | 6 | 3 | 5 | 
6  | 5 | 6 | 3 | 5 | 5 | 5 | 5 | 5 | 4 | 3 | 3 | 3 | 3 | 6 | 3 | 
7  | 6 | 5 | 3 | 4 | 5 | 3 | 6 | 4 | 4 | 5 | 3 | 6 | 5 | 3 | 6 | 
8  | 3 | 6 | 4 | 3 | 6 | 3 | 3 | 5 | 4 | 4 | 3 | 3 | 3 | 4 | 4 | 
9  | 6 | 4 | 5 | 5 | 5 | 3 | 3 | 6 | 3 | 6 | 3 | 6 | 4 | 6 | 3 | 
10 | 6 | 3 | 6 | 6 | 6 | 4 | 6 | 3 | 3 | 6 | 3 | 3 | 3 | 4 | 3 | 
11 | 4 | 4 | 3 | 6 | 4 | 6 | 5 | 4 | 3 | 4 | 4 | 4 | 3 | 4 | 6 | 
12 | 4 | 6 | 5 | 6 | 6 | 6 | 5 | 5 | 4 | 6 | 5 | 3 | 5 | 4 | 3 | 
13 | 4 | 4 | 3 | 4 | 5 | 4 | 6 | 4 | 6 | 4 | 5 | 6 | 3 | 4 | 5 | 
14 | 4 | 6 | 6 | 5 | 4 | 4 | 6 | 5 | 6 | 5 | 4 | 4 | 5 | 5 | 5 | 

start: (2, 2)   finish: (8, 3)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 6 | 6 | 6 | 6 | 5 | 3 | 4 | 6 | 4 | 6 | 6 | 3 | 5 | 5 | 5 | 
1  | 4 | 4 | 4 | 3 | 3 | 3 | 4 | 6 | 6 | 4 | 5 | 4 | 3 | 3 | 5 | 
2  | 3 | 6 | 3 | 6 | 6 | 3 | 6 | 4 | 4 | 4 | 3 | 3 | 3 | 3 | 5 | 
3  | 3 | 4 | 6 | 3 | 5 | 3 | 4 | 4 | 3 | 5 | 4 | 6 | 6 | 6 | 3 | 
4  | 6 | 5 | 3 | 4 | 5 | 6 | 5 | 5 | 6 | 4 | 5 | 3 | 6 | 4 | 5 | 
5  | 5 | 3 | 6 | 3 | 3 | 5 | 3 | 5 | 4 | 3 | 4 | 3 | 4 | 5 | 4 | 
6  | 3 | 3 | 4 | 3 | 6 | 5 | 6 | 4 | 6 | 6 | 4 | 5 | 3 | 4 | 6 | 
7  | 6 | 3 | 5 | 4 | 3 | 4 | 6 | 4 | 3 | 5 | 4 | 6 | 5 | 6 | 6 | 
8  | 5 | 5 | 4 | 3 | 4 | 5 | 4 | 4 | 4 | 5 | 3 | 3 | 4 | 4 | 4 | 
9  | 3 | 3 | 6 | 3 | 3 | 6 | 3 | 6 | 4 | 5 | 6 | 6 | 3 | 6 | 5 | 
10 | 6 | 4 | 4 | 3 | 3 | 6 | 5 | 4 | 4 | 6 | 5 | 6 | 6 | 6 | 5 | 
11 | 5 | 4 | 6 | 4 | 3 | 4 | 5 | 4 | 4 | 6 | 3 | 5 | 4 | 6 | 4 | 
12 | 5 | 5 | 4 | 4 | 4 | 6 | 5 | 5 | 4 | 6 | 3 | 4 | 6 | 6 | 6 | 
13 | 6 | 5 | 4 | 4 | 4 | 3 | 3 | 3 | 5 | 3 | 5 | 6 | 4 | 4 | 4 | 
14 | 3 | 5 | 4 | 5 | 3 | 3 | 5 | 6 | 3 | 4 | 3 | 6 | 3 | 4 | 3 | 

start: (13, 4)   finish: (2, 11)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 5 | 3 | 4 | 5 | 6 | 5 | 5 | 6 | 5 | 5 | 3 | 4 | 3 | 6 | 5 | 
1  | 4 | 6 | 4 | 5 | 4 | 5 | 5 | 6 | 3 | 5 | 4 | 5 | 3 | 6 | 3 | 
2  | 3 | 4 | 4 | 5 | 5 | 6 | 6 | 5 | 4 | 6 | 3 | 6 | 5 | 5 | 3 | 
3  | 6 | 4 | 4 | 5 | 3 | 4 | 3 | 3 | 6 | 3 | 6 | 3 | 5 | 6 | 6 | 
4  | 6 | 5 | 3 | 4 | 6 | 4 | 4 | 6 | 4 | 6 | 5 | 4 | 6 | 4 | 3 | 
5  | 4 | 4 | 4 | 3 | 4 | 4 | 5 | 6 | 6 | 3 | 6 | 3 | 6 | 6 | 4 | 
6  | 6 | 5 | 6 | 3 | 4 | 3 | 6 | 5 | 3 | 6 | 3 | 4 | 4 | 5 | 4 | 
7  | 6 | 4 | 6 | 3 | 3 | 4 | 6 | 4 | 3 | 5 | 5 | 6 | 3 | 5 | 4 | 
8  | 5 | 6 | 5 | 6 | 3 | 4 | 4 | 5 | 3 | 5 | 6 | 3 | 3 | 5 | 4 | 
9  | 3 | 6 | 3 | 5 | 4 | 4 | 4 | 4 | 3 | 4 | 4 | 3 | 5 | 6 | 6 | 
10 | 4 | 4 | 3 | 3 | 3 | 3 | 6 | 5 | 3 | 3 | 5 | 4 | 5 | 5 | 6 | 
11 | 3 | 5 | 4 | 4 | 4 | 6 | 3 | 3 | 3 | 6 | 5 | 6 | 3 | 3 | 5 | 
12 | 4 | 6 | 6 | 5 | 5 | 5 | 5 | 6 | 3 | 4 | 4 | 6 | 5 | 6 | 5 | 
13 | 5 | 4 | 4 | 6 | 5 | 3 | 3 | 6 | 3 | 4 | 4 | 3 | 4 | 4 | 3 | 
14 | 3 | 6 | 6 | 6 | 4 | 3 | 5 | 4 | 4 | 3 | 6 | 6 | 5 | 6 | 4 | 

start: (5, 13)   finish: (11, 4)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 5 | 3 | 5 | 3 | 3 | 4 | 4 | 5 | 5 | 6 | 4 | 4 | 6 | 6 | 6 | 
1  | 6 | 6 | 6 | 4 | 6 | 5 | 5 | 4 | 3 | 3 | 6 | 3 | 6 | 5 | 6 | 
2  | 3 | 4 | 6 | 4 | 6 | 3 | 3 | 6 | 5 | 4 | 4 | 6 | 4 | 4 | 6 | 
3  | 6 | 5 | 3 | 3 | 3 | 4 | 3 | 4 | 6 | 5 | 3 | 5 | 6 | 5 | 6 | 
4  | 4 | 3 | 4 | 3 | 3 | 5 | 6 | 3 | 6 | 4 | 4 | 3 | 4 | 6 | 4 | 
5  | 6 | 5 | 4 | 5 | 4 | 4 | 4 | 3 | 4 | 6 | 6 | 5 | 4 | 4 | 4 | 
6  | 5 | 6 | 3 | 5 | 5 | 5 | 5 | 5 | 3 | 3 | 6 | 4 | 6 | 4 | 3 | 
7  | 3 | 4 | 6 | 5 | 5 | 3 | 6 | 3 | 5 | 3 | 4 | 5 | 6 | 3 | 3 | 
8  | 3 | 3 | 6 | 3 | 3 | 4 | 5 | 3 | 3 | 3 | 4 | 3 | 5 | 6 | 3 | 
9  | 6 | 3 | 6 | 4 | 3 | 4 | 5 | 6 | 3 | 6 | 5 | 5 | 5 | 6 | 6 | 
10 | 4 | 5 | 5 | 3 | 5 | 6 | 3 | 6 | 4 | 5 | 4 | 4 | 4 | 3 | 4 | 
11 | 3 | 5 | 6 | 5 | 5 | 4 | 5 | 4 | 4 | 3 | 3 | 3 | 3 | 4 | 4 | 
12 | 4 | 4 | 3 | 6 | 3 | 5 | 5 | 3 | 6 | 6 | 5 | 3 | 6 | 4 | 3 | 
13 | 3 | 5 | 5 | 3 | 6 | 4 | 4 | 4 | 6 | 6 | 5 | 5 | 5 | 5 | 4 | 
14 | 3 | 6 | 3 | 3 | 3 | 5 | 5 | 6 | 5 | 6 | 3 | 5 | 6 | 3 | 4 | 

start: (0, 12)   finish: (3, 13)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 6 | 6 | 5 | 3 | 4 | 3 | 5 | 3 | 3 | 5 | 5 | 6 | 3 | 4 | 6 | 
1  | 6 | 3 | 5 | 3 | 4 | 4 | 3 | 6 | 6 | 6 | 3 | 6 | 6 | 5 | 6 | 
2  | 4 | 6 | 4 | 6 | 6 | 3 | 4 | 3 | 3 | 6 | 4 | 3 | 6 | 6 | 6 | 
3  | 5 | 6 | 5 | 6 | 5 | 6 | 6 | 5 | 6 | 5 | 4 | 3 | 5 | 6 | 4 | 
4  | 5 | 6 | 3 | 3 | 4 | 3 | 3 | 3 | 4 | 4 | 5 | 6 | 6 | 4 | 5 | 
5  | 6 | 6 | 5 | 4 | 6 | 4 | 6 | 5 | 3 | 4 | 4 | 6 | 5 | 4 | 5 | 
6  | 4 | 5 | 4 | 3 | 3 | 5 | 5 | 4 | 3 | 5 | 6 | 6 | 3 | 4 | 5 | 
7  | 5 | 3 | 6 | 6 | 4 | 4 | 3 | 4 | 3 | 4 | 4 | 3 | 5 | 5 | 4 | 
8  | 6 | 4 | 3 | 5 | 5 | 5 | 6 | 4 | 5 | 6 | 6 | 3 | 6 | 5 | 6 | 
9  | 6 | 4 | 6 | 3 | 5 | 4 | 6 | 4 | 3 | 6 | 5 | 6 | 6 | 3 | 6 | 
10 | 6 | 6 | 6 | 3 | 4 | 3 | 5 | 4 | 6 | 5 | 5 | 5 | 6 | 6 | 5 | 
11 | 6 | 6 | 3 | 5 | 5 | 3 | 5 | 5 | 3 | 3 | 6 | 4 | 3 | 6 | 3 | 
12 | 5 | 4 | 5 | 4 | 5 | 3 | 4 | 5 | 3 | 3 | 3 | 5 | 4 | 6 | 6 | 
13 | 4 | 3 | 4 | 3 | 3 | 5 | 5 | 5 | 5 | 5 | 4 | 6 | 4 | 6 | 4 | 
14 | 5 | 6 | 6 | 5 | 6 | 4 | 4 | 3 | 3 | 6 | 6 | 3 | 5 | 4 | 5 | 

start: (9, 5)   finish: (2, 5)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 3 | 4 | 4 | 5 | 5 | 4 | 5 | 3 | 6 | 3 | 6 | 6 | 3 | 3 | 6 | 
1  | 5 | 5 | 3 | 6 | 6 | 5 | 3 | 3 | 5 | 6 | 5 | 3 | 4 | 4 | 6 | 
2  | 4 | 5 | 3 | 4 | 5 | 5 | 5 | 3 | 3 | 4 | 3 | 3 | 5 | 3 | 4 | 
3  | 4 | 5 | 4 | 6 | 5 | 3 | 3 | 5 | 4 | 6 | 5 | 4 | 6 | 3 | 4 | 
4  | 4 | 3 | 4 | 4 | 5 | 6 | 3 | 4 | 3 | 3 | 6 | 5 | 3 | 3 | 4 | 
5  | 6 | 6 | 3 | 5 | 4 | 5 | 3 | 3 | 5 | 6 | 5 | 4 | 5 | 4 | 5 | 
6  | 3 | 3 | 5 | 4 | 5 | 4 | 6 | 6 | 3 | 5 | 4 | 4 | 5 | 4 | 6 | 
7  | 5 | 6 | 3 | 5 | 6 | 4 | 5 | 4 | 4 | 5 | 5 | 4 | 5 | 4 | 4 | 
8  | 6 | 3 | 3 | 4 | 3 | 4 | 6 | 6 | 5 | 6 | 4 | 3 | 5 | 6 | 3 | 
9  | 6 | 4 | 4 | 6 | 6 | 6 | 5 | 5 | 4 | 5 | 6 | 5 | 3 | 5 | 3 | 
10 | 4 | 6 | 3 | 3 | 6 | 3 | 6 | 6 | 3 | 4 | 4 | 3 | 3 | 6 | 4 | 
11 | 4 | 4 | 6 | 5 | 5 | 3 | 5 | 5 | 4 | 6 | 3 | 5 | 3 | 6 | 4 | 
12 | 5 | 5 | 6 | 3 | 4 | 4 | 6 | 5 | 3 | 5 | 5 | 4 | 6 | 6 | 5 | 
